vin_1_10,county,state,model_year,make,ev_type,electric_range
JN1AZ0CP2B,CLALLAM,WA,2011,NISSAN,BATTERY ELECTRIC VEHICLE (BEV),73
JN1AZ0CP7B,CLARK,WA,2011,NISSAN,BATTERY ELECTRIC VEHICLE (BEV),73
JN1AZ0CP5B,BENTON,WA,2011,NISSAN,BATTERY ELECTRIC VEHICLE (BEV),73
JN1AZ0CP9B,BENTON,WA,2011,NISSAN,BATTERY ELECTRIC VEHICLE (BEV),73
JN1AZ0CP3B,BENTON,WA,2011,NISSAN,BATTERY ELECTRIC VEHICLE (BEV),73
53TBH2MC0B,CLARK,WA,2011,TH!NK,BATTERY ELECTRIC VEHICLE (BEV),100
53TBH2MC4B,CLARK,WA,2011,TH!NK,BATTERY ELECTRIC VEHICLE (BEV),100
53TBH2MC3B,KING,WA,2011,TH!NK,BATTERY ELECTRIC VEHICLE (BEV),100
53TBH2MC9B,BENTON,WA,2011,TH!NK,BATTERY ELECTRIC VEHICLE (BEV),100
5YJRE1A16B,ISLAND,WA,2011,TESLA,BATTERY ELECTRIC VEHICLE (BEV),245
5YJRE1A14B,KING,WA,2011,TESLA,BATTERY ELECTRIC VEHICLE (BEV),245
5YJRE1A34B,KING,WA,2011,TESLA,BATTERY ELECTRIC VEHICLE (BEV),245
5YJRE1A18B,KLICKITAT,WA,2011,TESLA,BATTERY ELECTRIC VEHICLE (BEV),245
5YJRE1A11B,KING,WA,2011,TESLA,BATTERY ELECTRIC VEHICLE (BEV),245
5YJRE1A1XB,WHATCOM,WA,2011,TESLA,BATTERY ELECTRIC VEHICLE (BEV),245
JTDKN3DP1C,CHELAN,WA,2012,TOYOTA,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),6
JTDKN3DP6C,CLARK,WA,2012,TOYOTA,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),6
JTDKN3DP7C,BENTON,WA,2012,TOYOTA,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),6
JTDKN3DP3C,CLARK,WA,2012,TOYOTA,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),6
JTDKN3DP9C,CLALLAM,WA,2012,TOYOTA,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),6
JTDKN3DP4C,CLALLAM,WA,2012,TOYOTA,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),6
JTDKN3DP5C,CLALLAM,WA,2012,TOYOTA,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),6
JTDKN3DP8C,ASOTIN,WA,2012,TOYOTA,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),6
JTDKN3DPXC,BENTON,WA,2012,TOYOTA,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),6
JTDKN3DP0C,CLALLAM,WA,2012,TOYOTA,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),6
JTDKN3DP2C,BENTON,WA,2012,TOYOTA,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),6
YH4K10BA4C,KING,WA,2012,FISKER,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),33
YH4K14AA5C,CLARK,WA,2012,FISKER,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),33
YH4K10BA2C,MASON,WA,2012,FISKER,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),33
YH4K16AA7C,KING,WA,2012,FISKER,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),33
YH4K14AA0C,KING,WA,2012,FISKER,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),33
YH4K16AA5C,SNOHOMISH,WA,2012,FISKER,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),33
YH4K14AA6C,SKAGIT,WA,2012,FISKER,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),33
YH4K12AA9C,CLARK,WA,2012,FISKER,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),33
1G1RD6E46C,CLARK,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RA6E46C,BENTON,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RH6E46C,PIERCE,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RG6E46C,COWLITZ,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RH6E49C,KITSAP,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RB6E49C,CLARK,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RF6E42C,CLARK,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RB6E42C,ISLAND,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RD6E4XC,BENTON,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RB6E46C,BENTON,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
